% time	cellId	IMSI	RNTI	rsrp	sinr
0.436214	1	1	1	2.86067e-08	6.03082e+07
0.437214	1	1	1	2.86529e-08	6.04056e+07
0.438214	1	1	1	2.86992e-08	6.05031e+07
0.439214	1	1	1	2.87455e-08	6.06009e+07
0.440214	1	1	1	2.8792e-08	6.06988e+07
0.441214	1	1	1	2.88385e-08	6.0797e+07
0.442214	1	1	1	2.88852e-08	6.08953e+07
0.443214	1	1	1	2.89319e-08	6.09939e+07
0.444214	1	1	1	2.89788e-08	6.10926e+07
0.445214	1	1	1	2.90257e-08	6.11915e+07
0.446214	1	1	1	2.90727e-08	6.12907e+07
0.447214	1	1	1	2.91198e-08	6.139e+07
0.448214	1	1	1	2.91671e-08	6.14896e+07
0.449214	1	1	1	2.92144e-08	6.15893e+07
0.450214	1	1	1	2.92618e-08	6.16893e+07
0.451214	1	1	1	2.93093e-08	6.17894e+07
0.452214	1	1	1	2.93569e-08	6.18898e+07
0.453214	1	1	1	2.94046e-08	6.19903e+07
0.454214	1	1	1	2.94524e-08	6.20911e+07
0.455214	1	1	1	2.95003e-08	6.2192e+07
0.456214	1	1	1	2.95483e-08	6.22932e+07
0.457214	1	1	1	2.95963e-08	6.23946e+07
0.458214	1	1	1	2.96445e-08	6.24961e+07
0.459214	1	1	1	2.96928e-08	6.25979e+07
0.460214	1	1	1	2.97412e-08	6.26999e+07
0.461214	1	1	1	2.97896e-08	6.28021e+07
0.462214	1	1	1	2.98382e-08	6.29045e+07
0.463214	1	1	1	2.98869e-08	6.30071e+07
0.464214	1	1	1	2.99356e-08	6.31099e+07
0.465214	1	1	1	2.99845e-08	6.32129e+07
0.466214	1	1	1	3.00335e-08	6.33161e+07
0.467214	1	1	1	3.00825e-08	6.34195e+07
0.468214	1	1	1	3.01317e-08	6.35232e+07
0.469214	1	1	1	3.01809e-08	6.3627e+07
0.470214	1	1	1	3.02303e-08	6.37311e+07
0.471214	1	1	1	3.02798e-08	6.38353e+07
0.472214	1	1	1	3.03293e-08	6.39398e+07
0.473214	1	1	1	3.0379e-08	6.40445e+07
0.474214	1	1	1	3.04287e-08	6.41494e+07
0.475214	1	1	1	3.04786e-08	6.42545e+07
0.476214	1	1	1	3.05285e-08	6.43598e+07
0.477214	1	1	1	3.05786e-08	6.44654e+07
0.478214	1	1	1	3.06288e-08	6.45711e+07
0.479214	1	1	1	3.0679e-08	6.46771e+07
0.480214	1	1	1	3.07294e-08	6.47832e+07
0.481214	1	1	1	3.07798e-08	6.48896e+07
0.482214	1	1	1	3.08304e-08	6.49962e+07
0.483214	1	1	1	3.08811e-08	6.5103e+07
0.484214	1	1	1	3.09318e-08	6.521e+07
0.485214	1	1	1	3.09827e-08	6.53173e+07
0.486214	1	1	1	3.10337e-08	6.54247e+07
0.487214	1	1	1	3.10848e-08	6.55324e+07
0.488214	1	1	1	3.11359e-08	6.56403e+07
0.489214	1	1	1	3.11872e-08	6.57484e+07
0.490214	1	1	1	3.12386e-08	6.58567e+07
0.491214	1	1	1	3.12901e-08	6.59653e+07
0.492214	1	1	1	3.13417e-08	6.6074e+07
0.493214	1	1	1	3.13934e-08	6.6183e+07
0.494214	1	1	1	3.14451e-08	6.62922e+07
0.495214	1	1	1	3.1497e-08	6.64016e+07
0.496214	1	1	1	3.1549e-08	6.65112e+07
0.497214	1	1	1	3.16012e-08	6.66211e+07
0.498214	1	1	1	3.16534e-08	6.67311e+07
0.499214	1	1	1	3.17057e-08	6.68414e+07
0.500214	1	1	1	3.17581e-08	6.69519e+07
0.501214	1	1	1	3.18106e-08	6.70627e+07
0.502214	1	1	1	3.18633e-08	6.71736e+07
0.503214	1	1	1	3.1916e-08	6.72848e+07
0.504214	1	1	1	3.19688e-08	5.62878
0.505214	1	1	1	3.20218e-08	6.75078e+07
0.506214	1	1	1	3.20748e-08	6.76197e+07
0.507214	1	1	1	3.2128e-08	6.77317e+07
0.508214	1	1	1	3.21812e-08	6.7844e+07
0.509214	1	1	1	3.22346e-08	6.79565e+07
